TransactionID,UserID,CourseID,TransactionDate,Amount,CompletionStatus,Rating
T00058,U0302,C015,2023-05-16,195.03,Not Started,
T00059,U0096,C101,2023-07-23,21.32,Completed,2.9
T00060,U0190,C029,2024-02-16,164.36,In Progress,4.3
T00061,U0453,C114,2022-09-04,67.12,Completed,
T00062,U0192,C107,2023-12-09,114.63,Completed,2.7
T00063,U0486,C108,2023-05-03,65.11,Completed,4.9
T00064,U0266,C130,2023-10-24,126.54,In Progress,2.7
T00065,U0424,C084,2023-12-30,77.21,Completed,3.8
T00066,U0128,C015,2023-05-18,73.38,Not Started,4.1
T00067,U0238,C132,2023-04-04,17.2,In Progress,4.9
T00068,U0920,C050,2024-03-22,37.91,Completed,
T00069,U0355,C023,2022-01-18,184.23,In Progress,3.6
T00070,U0940,C059,2022-04-06,199.66,Completed,4.9
T00071,U0112,C090,2022-10-29,158.29,Completed,3.6
T00072,U0828,C115,2022-08-15,64.48,Completed,4.2
T00073,U0446,C075,2023-02-19,86.45,Completed,
T00074,U0343,C123,2023-12-10,150.5,Completed,4.1
T00075,U0145,C136,2022-09-07,194.01,Completed,3.8
T00076,U0065,C139,2022-11-10,96.53,Completed,
T00077,U0247,C018,2023-11-11,167.6,Completed,4.2
T00078,U0735,C050,2023-08-19,195.25,Not Started,
T00079,U0991,C142,2023-01-13,175.95,Completed,3.3
T00080,U0490,C118,2023-04-30,53.15,Completed,
T00081,U0825,C137,2023-07-21,11.52,Not Started,
T00082,U0439,C139,2023-06-28,103.49,In Progress,
T00083,U0106,C108,2022-12-19,110.95,In Progress,4.2
T00084,U0181,C067,2023-03-12,48.23,Completed,4.8
T00085,U0184,C078,2024-02-03,64.08,In Progress,
T00086,U0226,C075,2023-07-18,155.37,Completed,3.8
T00087,U0777,C039,2022-12-05,99.36,In Progress,
T00088,U0790,C025,2022-12-27,70.29,Not Started,
T00089,U0909,C021,2023-12-21,128.29,In Progress,2.9
T00090,U0089,C138,2023-04-10,134.01,Completed,
T00091,U0688,C015,2022-10-05,156.18,In Progress,4.4
T00092,U0530,C048,2022-11-10,39.76,In Progress,3.1
T00093,U0371,C086,2022-09-15,150.88,In Progress,
T00094,U0972,C149,2022-08-25,123.88,In Progress,3.6
T00095,U0936,C116,2022-05-04,20.93,In Progress,3.2
T00096,U0913,C050,2024-01-09,157.7,In Progress,3.8
T00097,U0399,C141,2022-07-17,82.78,Not Started,
T00098,U0106,C069,2022-11-20,72.76,Not Started,3.1
T00099,U0271,C004,2022-05-03,95.12,Completed,4.4
T00100,U0975,C078,2024-01-31,75.76,In Progress,
T00101,U0831,C009,2023-07-03,74.26,Completed,4.5
T00102,U0503,C121,2024-02-20,163.52,In Progress,
T00103,U0679,C115,2023-12-08,33.65,Completed,2.9
T00104,U0525,C101,2022-07-09,194.4,In Progress,4.6
T00105,U0849,C149,2022-07-16,115.43,In Progress,
T00106,U0032,C146,2022-08-10,44.75,Completed,
T00107,U0393,C097,2024-01-27,34.92,Not Started,4.5
T00108,U0040,C081,2023-05-11,122.38,In Progress,4.4
T00109,U0660,C043,2022-10-11,130.26,Completed,3.5
T00110,U0218,C095,2024-01-12,20.06,Completed,4.8
T00111,U0731,C006,2023-08-27,56.16,Not Started,
T00112,U0981,C067,2024-02-18,161.13,Completed,3.9
T00113,U0082,C140,2023-06-22,19.42,In Progress,
T00114,U0845,C100,2023-09-04,172.46,In Progress,2.6
T00115,U0720,C012,2022-10-17,135.04,Not Started,3.5
T00116,U0201,C066,2022-04-13,92.53,In Progress,
T00117,U0447,C002,2024-05-02,75.81,In Progress,
T00118,U0844,C143,2022-07-18,13.65,Not Started,
T00119,U0428,C081,2022-10-31,166.78,Not Started,
T00120,U0038,C135,2022-08-21,37.11,In Progress,3.4
T00121,U0211,C142,2023-01-05,68.8,Completed,3.9
T00122,U0444,C070,2022-07-03,118.12,Completed,5.0
T00123,U0327,C115,2022-11-06,56.73,In Progress,3.1
T00124,U0761,C088,2022-01-15,104.45,In Progress,4.3
T00125,U0227,C006,2023-12-27,163.77,Completed,4.4
T00126,U0048,C027,2023-07-01,99.39,Completed,
T00127,U0018,C082,2022-05-10,190.3,In Progress,
T00128,U0912,C088,2022-10-08,171.02,Completed,3.9
T00129,U0439,C120,2022-02-16,73.27,Completed,4.9
T00130,U0807,C024,2022-02-25,85.98,Completed,
T00131,U0708,C102,2023-07-21,90.42,In Progress,
T00132,U0187,C034,2022-10-27,128.96,In Progress,4.9
T00133,U0345,C047,2023-12-16,64.48,Completed,4.5
T00134,U0224,C024,2022-05-10,194.15,Completed,4.2
T00135,U0830,C065,2023-10-16,125.64,In Progress,
T00136,U0488,C018,2024-06-08,85.88,In Progress,2.9
T00137,U0909,C044,2024-02-10,132.54,In Progress,4.4
T00138,U0877,C076,2023-05-18,85.12,Completed,
T00139,U0849,C057,2022-04-16,165.37,Completed,3.4
T00140,U0229,C107,2024-06-12,117.88,Not Started,
T00141,U0390,C124,2022-01-13,17.96,Completed,2.6
T00142,U0979,C139,2023-08-11,43.57,In Progress,3.3
T00143,U0589,C116,2022-10-19,174.34,Completed,2.9
T00144,U0188,C093,2023-04-26,116.94,Completed,2.8
T00145,U0858,C042,2023-05-06,190.56,Completed,
T00146,U0270,C028,2023-03-28,23.75,In Progress,4.5
T00147,U0607,C123,2022-12-15,66.09,Completed,3.0
T00148,U0310,C024,2022-07-08,46.76,Completed,3.8
T00149,U0132,C136,2022-02-22,115.22,Completed,
T00150,U0551,C106,2022-09-16,82.72,Completed,3.1
T00151,U0072,C118,2024-06-01,39.87,Completed,4.8
T00152,U0793,C053,2023-05-05,132.11,Completed,4.7
T00153,U0845,C132,2022-04-27,111.89,Completed,3.1
T00154,U0672,C100,2024-04-21,62.19,In Progress,5.0
T00155,U0187,C005,2022-03-08,101.15,In Progress,4.2
T00156,U0486,C049,2023-02-15,151.68,Completed,
T00157,U0191,C098,2023-05-19,48.99,Completed,4.2
T00158,U0422,C030,2022-03-17,65.64,In Progress,4.2
T00159,U0120,C072,2023-08-14,75.75,Completed,4.0
T00160,U0220,C103,2023-10-07,151.87,Completed,4.3
T00161,U0053,C063,2023-12-04,170.91,In Progress,3.2
T00162,U0734,C026,2022-02-24,81.5,Not Started,4.9
T00163,U0451,C037,2022-06-05,66.35,In Progress,4.6
T00164,U0412,C007,2022-06-02,178.98,Completed,
T00165,U0643,C127,2024-04-10,199.87,Not Started,2.6
T00166,U0237,C092,2023-07-31,137.36,Completed,4.0
T00167,U0758,C103,2022-11-08,198.09,Not Started,4.3
T00168,U0738,C053,2022-03-29,135.38,Completed,4.6
T00169,U0720,C132,2022-09-12,149.35,Completed,4.9
T00170,U0406,C108,2022-05-02,83.83,In Progress,4.8
T00171,U0608,C112,2023-07-26,92.25,Not Started,3.5
T00172,U0422,C007,2024-02-22,37.38,Not Started,4.7
T00173,U0712,C067,2023-03-03,166.31,In Progress,2.5
T00174,U0247,C108,2023-09-13,186.89,In Progress,3.4
T00175,U0072,C111,2023-09-03,128.44,In Progress,
T00176,U0830,C148,2024-03-20,75.28,In Progress,4.7
T00177,U0185,C083,2023-09-26,39.25,Not Started,4.8
T00178,U0006,C124,2022-08-20,60.37,Completed,
T00179,U0206,C139,2024-03-05,58.52,Completed,
T00180,U0544,C104,2023-06-20,126.56,Not Started,
T00181,U0611,C067,2023-01-25,189.55,Not Started,3.9
T00182,U0906,C007,2023-04-07,19.16,Completed,3.7
T00183,U0387,C110,2023-03-30,10.18,Completed,
T00184,U0768,C034,2022-11-01,124.02,Not Started,4.2
T00185,U0699,C106,2024-05-30,63.96,In Progress,
T00186,U0076,C147,2023-08-26,177.29,In Progress,
T00187,U0177,C058,2023-03-16,72.17,Completed,2.9
T00188,U0827,C009,2022-11-09,65.04,Not Started,3.0
T00189,U0799,C048,2023-08-06,61.2,Completed,2.6
T00190,U0349,C115,2023-09-28,37.51,Completed,3.9
T00191,U0255,C041,2022-03-03,120.48,Completed,4.8
T00192,U0837,C048,2023-09-17,41.95,Not Started,4.3
T00193,U0702,C025,2024-01-28,90.67,In Progress,5.0
T00194,U0308,C116,2022-04-12,97.57,In Progress,
T00195,U0345,C078,2024-02-21,13.88,Completed,3.7
T00196,U0127,C108,2022-08-01,13.18,Not Started,3.7
T00197,U0937,C025,2023-10-03,108.83,In Progress,4.1
T00198,U0287,C147,2022-08-05,142.24,In Progress,2.8
T00199,U0766,C039,2022-09-28,189.0,Not Started,4.0
T00200,U0725,C119,2023-11-08,44.02,Completed,
T00201,U0762,C079,2022-03-25,29.61,In Progress,4.1
T00202,U0596,C080,2022-06-10,19.89,Not Started,3.9
T00203,U0487,C027,2022-09-03,92.84,In Progress,
T00204,U0383,C104,2022-06-27,128.39,In Progress,4.0
T00205,U0406,C074,2023-07-20,169.7,Completed,3.4
T00206,U0388,C068,2022-03-18,139.69,In Progress,
T00207,U0525,C147,2022-06-10,49.58,In Progress,4.2
T00208,U0557,C028,2022-01-03,97.73,Completed,3.3
T00209,U0639,C123,2023-02-23,182.96,Not Started,4.7
T00210,U0938,C138,2023-04-07,72.07,Completed,3.0
T00211,U0626,C083,2023-12-07,104.75,Completed,
T00212,U0945,C030,2023-09-01,192.12,In Progress,3.9
T00213,U0276,C022,2023-04-27,149.58,In Progress,3.0
T00214,U0500,C003,2022-10-26,152.06,Completed,3.6
T00215,U0717,C101,2022-02-03,57.93,Completed,4.2
T00216,U0337,C105,2022-08-26,88.78,Completed,
T00217,U0950,C002,2022-10-23,25.64,Completed,2.8
T00218,U0932,C054,2023-12-25,125.23,Completed,
T00219,U0481,C006,2022-10-17,29.7,Completed,
T00220,U0897,C107,2023-12-21,168.81,Completed,
T00221,U0911,C123,2024-05-30,164.76,In Progress,4.6
T00222,U0973,C002,2023-04-10,111.37,Not Started,2.8
T00223,U0273,C111,2022-03-14,36.81,In Progress,3.6
T00224,U0920,C002,2023-12-05,14.85,In Progress,3.6
T00225,U0058,C093,2022-08-28,161.36,Completed,4.1
T00226,U0328,C101,2022-09-28,124.02,In Progress,
T00227,U0731,C097,2024-03-17,145.07,In Progress,3.5
T00228,U0109,C111,2024-03-21,67.71,In Progress,2.5
T00229,U0279,C006,2023-10-03,106.79,Completed,
T00230,U0686,C127,2023-08-27,151.95,Completed,3.9
T00231,U0328,C104,2023-11-09,97.88,In Progress,3.0
T00232,U0776,C147,2024-04-03,124.25,Completed,2.9
T00233,U0315,C001,2022-07-22,160.04,Not Started,3.3
T00234,U0474,C033,2023-03-12,50.88,Completed,2.9
T00235,U0111,C040,2022-04-28,22.52,Completed,
T00236,U0699,C032,2023-07-12,111.04,In Progress,
T00237,U0781,C017,2022-08-19,21.79,Not Started,2.9
T00238,U0935,C126,2023-10-26,155.64,Completed,
T00239,U0229,C008,2022-06-02,146.64,In Progress,2.7
T00240,U0497,C057,2022-09-30,177.52,Completed,4.4
T00241,U0156,C042,2024-04-26,131.51,In Progress,3.5
T00242,U0473,C098,2022-05-26,22.76,In Progress,
T00243,U0701,C137,2022-03-15,58.09,Not Started,
T00244,U0272,C120,2022-03-03,163.5,Completed,4.8
T00245,U0887,C087,2022-06-19,41.75,Completed,4.4
T00246,U0002,C054,2024-03-22,142.7,In Progress,2.9
T00247,U0758,C084,2022-11-11,158.24,Completed,3.0
T00248,U0722,C025,2023-09-02,72.71,In Progress,4.1
T00249,U0511,C067,2024-02-06,71.23,In Progress,4.8
T00250,U0913,C046,2024-04-24,115.97,Completed,
T00251,U0286,C022,2023-08-06,173.63,Not Started,3.7
T00252,U0871,C139,2022-10-23,52.53,Completed,3.1
T00253,U0013,C008,2023-03-26,188.83,Not Started,3.5
T00254,U0608,C039,2022-05-08,123.82,Not Started,
T00255,U0498,C049,2023-04-25,198.49,In Progress,3.4
T00256,U0733,C046,2023-12-07,27.02,Completed,2.6
T00257,U0238,C038,2022-11-08,34.04,Not Started,2.6
T00258,U0094,C136,2023-12-18,167.05,In Progress,
T00259,U0338,C054,2023-02-17,174.29,Completed,4.2
T00260,U0781,C092,2022-10-06,94.63,Completed,3.3
T00261,U0171,C040,2023-05-28,145.66,Completed,4.7
T00262,U0981,C034,2023-07-07,174.83,Not Started,
T00263,U0606,C096,2023-05-21,18.18,Not Started,
T00264,U0661,C079,2023-03-25,119.04,Not Started,
T00265,U0624,C127,2022-03-24,172.15,In Progress,4.4
T00266,U0567,C017,2023-09-05,85.64,In Progress,4.7
T00267,U0849,C110,2022-02-10,67.44,Completed,
T00268,U0936,C052,2023-03-19,161.17,Completed,
T00269,U0467,C118,2024-01-23,73.79,Completed,4.1
T00270,U0628,C009,2022-11-27,10.59,In Progress,3.3
T00271,U0143,C033,2023-09-11,192.31,Not Started,2.6
T00272,U0201,C113,2022-09-14,122.49,Not Started,4.0
T00273,U0180,C149,2022-01-27,165.7,Completed,3.5
T00274,U0714,C085,2022-04-04,166.8,In Progress,
T00275,U0364,C010,2022-08-23,22.61,In Progress,3.2
T00276,U0479,C006,2023-11-22,42.45,In Progress,2.5
T00277,U0565,C115,2024-05-06,69.1,In Progress,
T00278,U0471,C121,2024-05-31,70.92,Completed,3.7
T00279,U0384,C141,2023-08-13,135.16,Not Started,3.2
T00280,U0692,C065,2023-08-25,128.39,In Progress,
T00281,U0926,C020,2022-01-22,103.96,In Progress,
T00282,U0417,C057,2024-02-23,50.13,Completed,4.7
T00283,U0825,C046,2023-11-20,82.57,Completed,3.5
T00284,U0308,C136,2024-04-21,113.27,Completed,3.2
T00285,U0649,C010,2022-10-03,98.91,In Progress,3.3
T00286,U0694,C113,2023-08-14,34.18,Not Started,3.3
T00287,U0367,C139,2022-02-11,133.4,Completed,
T00288,U0001,C012,2024-02-21,23.87,In Progress,
T00289,U0044,C138,2024-02-14,81.85,In Progress,
T00290,U0739,C011,2022-06-29,144.9,Completed,3.6
T00291,U0843,C118,2023-04-27,13.79,In Progress,4.2
T00292,U0098,C039,2023-06-16,118.29,In Progress,4.0
T00293,U0720,C053,2023-10-30,73.55,Completed,3.1
T00294,U0265,C056,2023-03-29,11.67,Completed,4.5
T00295,U0800,C104,2022-10-12,46.16,In Progress,
T00296,U0783,C129,2022-07-05,188.77,Completed,5.0
T00297,U0140,C056,2023-08-23,109.01,Not Started,
T00298,U0481,C118,2023-03-23,199.46,In Progress,4.6
T00299,U0237,C132,2023-10-13,109.71,Completed,4.7
T00300,U0974,C030,2024-04-13,113.34,Completed,
T00301,U0953,C012,2023-05-19,84.44,Not Started,3.8
T00302,U0904,C035,2022-04-04,68.9,In Progress,
T00303,U0072,C077,2023-04-27,57.78,In Progress,4.9
T00304,U0667,C102,2022-12-23,75.24,Completed,
T00305,U0190,C087,2023-02-23,97.36,Not Started,3.4
T00306,U0268,C052,2022-12-08,46.47,Completed,4.5
T00307,U0321,C080,2022-11-25,52.72,In Progress,2.7
T00308,U0107,C135,2023-11-18,61.58,Not Started,3.2
T00309,U0232,C022,2022-04-18,95.35,Completed,
T00310,U0042,C075,2024-05-28,134.02,In Progress,4.5
T00311,U0702,C058,2022-06-14,172.66,Completed,4.8
T00312,U0883,C093,2022-12-04,64.55,In Progress,4.0
T00313,U0139,C103,2023-02-26,44.9,Completed,3.5
T00314,U0615,C140,2023-12-12,81.97,Not Started,
T00315,U0683,C007,2023-05-23,179.92,Completed,3.3
T00316,U0863,C128,2022-10-23,11.86,In Progress,4.4
T00317,U0273,C055,2023-11-10,138.79,Not Started,3.9
T00318,U0481,C106,2023-02-15,100.65,Not Started,3.1
T00319,U0416,C062,2024-04-13,40.59,In Progress,
T00320,U0506,C090,2024-02-18,70.98,In Progress,3.5
T00321,U0733,C098,2023-07-18,52.73,Completed,
T00322,U0725,C077,2022-02-07,176.78,Completed,3.0
T00323,U0853,C119,2023-04-11,101.55,In Progress,3.5
T00324,U0424,C036,2022-04-01,116.98,Completed,
T00325,U0407,C089,2022-11-19,122.79,Completed,4.3
T00326,U0568,C145,2022-09-16,131.52,Completed,
T00327,U0390,C130,2022-11-28,104.15,In Progress,4.2
T00328,U0342,C141,2022-04-29,13.39,Completed,2.6
T00329,U0946,C093,2024-03-02,73.59,Completed,2.6
T00330,U0614,C114,2023-02-18,44.93,Completed,2.9
T00331,U0933,C028,2024-06-04,139.22,In Progress,4.1
T00332,U0493,C143,2023-06-11,20.76,In Progress,
T00333,U0192,C033,2024-04-24,117.11,In Progress,2.6
T00334,U0499,C020,2022-01-02,50.01,Not Started,
T00335,U0822,C140,2023-11-05,190.27,Completed,4.9
T00336,U0712,C101,2024-06-09,73.74,Completed,4.8
T00337,U0233,C023,2023-07-10,71.78,Completed,2.7
T00338,U0945,C112,2023-04-19,185.43,In Progress,
T00339,U0227,C014,2023-02-28,89.29,In Progress,
T00340,U0371,C091,2022-02-25,192.93,Completed,
T00341,U0139,C077,2022-07-12,14.58,In Progress,2.7
T00342,U0856,C085,2023-06-15,68.2,In Progress,
T00343,U0817,C109,2023-01-06,136.57,Not Started,4.9
T00344,U0149,C031,2023-09-30,179.25,In Progress,4.4
T00345,U0115,C122,2024-02-14,58.71,In Progress,3.0
T00346,U0450,C107,2023-05-26,186.78,In Progress,2.6
T00347,U0063,C054,2023-10-03,122.87,Not Started,4.9
T00348,U0104,C133,2023-03-29,162.18,Not Started,
T00349,U0851,C141,2024-02-18,85.46,In Progress,4.0
T00350,U0871,C043,2022-02-22,50.3,In Progress,3.2
T00351,U0668,C089,2022-07-28,183.12,In Progress,
T00352,U0273,C115,2022-10-01,187.29,Completed,3.0
T00353,U0006,C099,2023-07-17,104.53,In Progress,4.5
T00354,U0147,C047,2022-05-15,11.22,Completed,
T00355,U0184,C071,2022-10-22,30.85,Not Started,
T00356,U0998,C067,2023-03-25,118.87,In Progress,
T00357,U0028,C062,2023-12-17,14.51,Not Started,4.5
T00358,U0962,C109,2023-05-12,85.4,In Progress,3.5
T00359,U0550,C037,2022-05-05,67.63,In Progress,
T00360,U0119,C119,2022-01-30,145.72,Completed,3.9
T00361,U0293,C086,2023-10-08,20.55,In Progress,4.2
T00362,U0371,C126,2023-09-16,102.85,In Progress,4.4
T00363,U0244,C136,2024-03-29,120.02,Completed,3.5
T00364,U0580,C052,2022-09-03,127.28,Not Started,
T00365,U0726,C091,2023-12-28,86.97,Completed,4.0
T00366,U0218,C033,2022-06-12,67.82,In Progress,3.3
T00367,U0177,C081,2022-11-15,139.66,Completed,4.9
T00368,U0299,C042,2023-07-19,171.03,Not Started,
T00369,U0676,C112,2022-01-15,141.78,Completed,
T00370,U0058,C126,2023-07-20,187.09,In Progress,3.3
T00371,U0269,C136,2023-02-22,146.27,Completed,3.3
T00372,U0308,C106,2022-04-06,155.27,Completed,3.8
T00373,U0570,C125,2022-08-19,41.89,Not Started,3.3
T00374,U0288,C113,2024-05-11,89.7,Completed,
T00375,U0977,C064,2022-04-27,102.15,In Progress,3.6
T00376,U0105,C123,2023-04-18,58.69,Completed,
T00377,U0228,C114,2022-05-01,110.41,Completed,2.9
T00378,U0247,C020,2023-10-26,65.24,In Progress,4.2
T00379,U0700,C016,2024-05-02,140.62,In Progress,
T00380,U0494,C145,2022-06-07,99.34,In Progress,
T00381,U0083,C019,2023-05-26,97.16,In Progress,3.9
T00382,U0186,C120,2024-01-04,196.88,Completed,3.3
T00383,U0252,C136,2022-10-26,84.55,Completed,4.4
T00384,U0355,C038,2023-06-06,78.83,Completed,4.2
T00385,U0750,C093,2023-12-24,70.52,In Progress,4.9
T00386,U0872,C105,2022-10-07,179.99,Not Started,3.8
T00387,U0696,C100,2023-03-02,104.37,Completed,3.8
T00388,U0796,C090,2024-05-04,123.99,Completed,3.1
T00389,U0897,C044,2023-05-10,44.35,Completed,
T00390,U0938,C076,2023-04-29,112.77,Not Started,
T00391,U0210,C145,2022-09-07,62.17,Not Started,4.2
T00392,U0816,C079,2023-04-13,148.81,Completed,3.3
T00393,U0808,C073,2023-07-19,168.17,In Progress,3.9
T00394,U0609,C140,2022-05-29,145.8,Completed,
T00395,U0447,C096,2023-01-28,148.74,In Progress,
T00396,U0460,C089,2022-07-15,107.36,In Progress,
T00397,U0968,C103,2023-09-06,145.29,Completed,
T00398,U0472,C146,2023-06-05,90.3,Not Started,4.9
T00399,U0720,C006,2024-02-04,133.77,In Progress,4.3
T00400,U0370,C122,2024-06-19,59.21,Completed,3.2
T00401,U0900,C116,2022-05-20,23.24,In Progress,3.8
T00402,U0934,C062,2024-06-03,88.55,In Progress,3.7
T00403,U0492,C144,2022-03-13,97.73,Not Started,
T00404,U0923,C136,2022-10-10,58.71,Completed,4.6
T00405,U0137,C089,2024-03-02,148.25,Completed,3.2
T00406,U0367,C096,2024-03-19,23.96,In Progress,
T00407,U0912,C126,2024-05-24,52.31,In Progress,2.9
T00408,U0184,C090,2023-03-01,152.22,Completed,4.4
T00409,U0588,C086,2022-12-15,93.04,Not Started,
T00410,U0287,C138,2024-03-17,143.99,Completed,
T00411,U0472,C121,2023-06-04,117.81,Completed,4.6
T00412,U0375,C076,2022-10-01,190.63,Not Started,
T00413,U0654,C092,2024-04-20,123.57,Completed,
T00414,U0749,C070,2022-01-03,12.82,Completed,2.9
T00415,U0537,C148,2022-10-17,77.04,In Progress,3.7
T00416,U0511,C133,2024-01-14,37.17,Completed,4.3
T00417,U0802,C023,2022-11-02,185.67,Not Started,2.5
T00418,U0579,C137,2024-05-07,29.75,In Progress,2.9
T00419,U0250,C058,2023-08-25,83.65,In Progress,2.6
T00420,U0920,C046,2023-08-17,52.95,Completed,5.0
T00421,U0510,C022,2023-11-07,170.87,Completed,4.4
T00422,U0630,C008,2023-05-17,68.62,In Progress,
T00423,U0073,C123,2024-06-05,198.45,In Progress,2.9
T00424,U0282,C020,2022-06-02,17.33,In Progress,2.7
T00425,U0916,C078,2023-04-03,34.36,Completed,3.8
T00426,U0960,C039,2023-07-06,52.67,In Progress,4.9
T00427,U0360,C037,2023-05-11,164.1,Completed,4.2
T00428,U0010,C075,2022-12-20,176.91,In Progress,3.4
T00429,U0211,C118,2022-12-07,23.57,In Progress,
T00430,U0835,C104,2023-07-20,16.16,Completed,5.0
T00431,U0152,C031,2024-02-21,151.46,In Progress,3.8
T00432,U0005,C123,2023-07-11,35.33,Completed,
T00433,U0195,C054,2023-01-22,35.26,In Progress,
T00434,U0954,C034,2023-04-12,14.24,In Progress,4.3
T00435,U0283,C122,2022-11-26,19.45,Completed,4.1
T00436,U0464,C113,2024-06-09,60.09,Not Started,
T00437,U0113,C062,2022-07-13,22.34,In Progress,3.9
T00438,U0271,C023,2023-12-16,80.08,Not Started,
T00439,U0163,C046,2022-09-02,168.22,Completed,2.9
T00440,U0460,C056,2023-08-09,71.99,Not Started,4.8
T00441,U0105,C135,2023-01-28,148.28,Completed,
T00442,U0693,C118,2022-08-28,27.83,In Progress,
T00443,U0556,C131,2024-05-26,135.27,Not Started,4.2
T00444,U0282,C113,2024-03-05,70.17,Completed,3.6
T00445,U0687,C044,2023-02-25,152.44,Completed,
T00446,U0162,C128,2022-02-14,35.88,In Progress,4.5
T00447,U0983,C108,2022-11-22,180.59,In Progress,3.6
T00448,U0351,C017,2024-02-02,56.08,In Progress,2.7
T00449,U0434,C059,2023-04-30,77.09,Completed,4.7
T00450,U0852,C138,2023-12-24,190.52,In Progress,4.4
T00451,U0140,C099,2024-04-10,119.9,Completed,4.5
T00452,U0471,C084,2023-01-26,79.49,Not Started,
T00453,U0132,C146,2023-01-31,190.41,In Progress,3.2
T00454,U0087,C045,2023-11-11,72.51,In Progress,4.6
T00455,U0688,C108,2024-03-22,28.02,Completed,
T00456,U0183,C062,2024-04-20,199.39,Not Started,3.1
T00457,U0368,C059,2023-10-30,60.88,In Progress,
T00458,U0129,C138,2022-06-05,171.73,Not Started,2.8
T00459,U0246,C011,2023-05-23,41.44,Completed,3.8
T00460,U0601,C102,2022-02-07,148.95,In Progress,2.6
T00461,U0578,C070,2022-05-10,109.64,In Progress,3.0
T00462,U0670,C123,2023-05-30,196.36,Completed,
T00463,U0899,C034,2023-08-28,115.03,Completed,4.1
T00464,U0378,C101,2022-12-06,14.74,Completed,3.7
T00465,U0149,C145,2024-06-09,124.73,Completed,
T00466,U0985,C104,2022-04-13,37.6,Completed,4.4
T00467,U0852,C040,2024-06-14,161.71,In Progress,
T00468,U0433,C019,2024-05-15,172.74,In Progress,3.4
T00469,U0628,C067,2023-03-27,101.59,In Progress,4.9
